Stocks ,Acquisition,Selling price ,sales,data,gender
Condensed milk (Alaska 168ml) (10pcs),380,38,0,18-24,
Pasta / spaghetti (Dolce vita 500g) (10 pcs),600,60,0,18-24,
Mineral water (SM Bonus 325ml) (10pcs),330,33.77,0,18-24,
Biscuits (Sky Flakes 25g) (1 packs),128,7,0,18-24,
Candies (XO 50g) (1 packs),32,1,0,18-24,
candies potchi (1packs),120,1,14,18-24,1
chocolate chewy candy (1packs),240,1,10,18-24,1
candies Vfresh winter cool gum (1packs),252,1,5,18-24,1
margarine garlic 100g (1packs),128,7,0,18-24,
margarine chocolate (3x250g) (10 pcs),252,39,0,18-24,
Margarine (Star 100g),128,38,0,18-24,
Peanut Butter (Skippy 340g) (10 pcs),390,310,0,18-24,
Cheese (Eden 165g) 10 pcs),380,115,0,18-24,
eden mayo bottle  5 pcs,310,139,0,18-24,
eden sandwich spread pouch 1 packs,775,125,0,18-24,
Cheese spread (Chezz magic 470 ml 10 pcs),414,79,0,18-24,
eden original filled ceese 430g 9 pcs,1125,48.96,0,18-24,
Diapers (Huggies 38/76s) (2paks),790,48.96,0,18-24,
Sanitary napkins (Caress 8s) (1packs),563,10,0,18-24,
Tissue paper (12 rolls) (2packs),563,45,0,18-24,
Toothrbrush (10s),600,33,0,18-24,
palmolive expertique smoothique (1packs),79,6,24,18-24,1
palmolive naturals intensive moisture (1packs),225,6,32,18-24,1
palmolive naturals ultra smooth shampoo 400ml (1packs),180,6,0,18-24,
palmulive naturals aroma vatality shampoo 180ml(1packs),170,6,0,18-24,
safeguard pure white bar soap X3 (1paks),170,47,0,18-24,
safeguarde fresh bar soap (packs) 1packs),211,47,0,18-24,
safeguard floral pink with aloe bar soap 1packs),285,47,0,18-24,
safeguard arctic fresh bar soap 1 packs),285,47,0,18-24,
safeguard lemon fres bar soap 1packs),285,47,0,18-24,
safeguard natural detox bamboo charcoal 108g 1 packs),285,47,0,18-24,
kojie san dream white anti aging soap (5 pcs),345,69,0,18-24,
modes maternity pads (packs) (10 pcs),110,9,0,18-24,
whispe breathable cotton day use (12 pcs),142,11.6,0,18-24,
wisper sper clean and dry and night use (3pakcs),204,8.5,0,18-24,
Conditioner (Cream Silk 12s) (24pcs),168,7,28,18-24,1
Detergent powder (Speed 55g) (41 pcs),249,6,0,18-24,
Detergent bar (Surf) (6 long bar),556,12,0,18-24,
Bleach / disinfectant (1gallon),1996,249,0,18-24,
Fabric solfener (4 pcs),210,42,0,18-24,
Battery (Everady size D) (4pcs),356,89,0,18-24,
Battery (Evaready size AA) (4pcs),752,188,0,18-24,
Battery (Everady size AAA) (4pcs),752,188,0,18-24,
Candle (5packs),300,5,0,18-24,
light bulb (Philips 9W) (5pcs),720,150,0,18-24,
Ball pen (2packs),105,8,0,18-24,
Pencil (mongol #2) (2 packs),184,8,0,18-24,
cerelac nutripuffs babana& strawberry (6pcs),20,85,0,18-24,
cerelac nutripuffs banana & orange (6packs),714,119,0,18-24,
gullon biscuit gullon gluten free cookies - 200g (2 gallons),1194,199,0,18-24,
gullon biscuits (miliana) gullon gluten free cookies (2 gallons),398,199,0,18-24,
selecta lisses salted caramel (3 gallon),870,290,0,18-24,
ices(yelo),20,4,24,18-24,1
nestle all purpose cream (20 pcs),800,69,0,18-24,
